title,locations
cary-mariam-the-fair-queen-of-jewry,"['Ierusalem', 'Ophir', 'Palestine', 'Rome', 'Arabia', 'Greece', 'Asia']"
cavendish-shirley-the-country-captain,[]
cavendish-the-variety,"['France', 'States', 'London', 'Rome', 'Nice', 'Spaine', 'Scotland', 'Holland', 'St. Georges', 'Switzerland', 'Tempe']"
chamberlain-the-swaggering-damsel,[]
chapman-all-fools,"['Paris', 'Florence', 'France', 'Europe', 'Italy', 'Europa']"
chapman-an-humorous-day-s-mirth,"['Paris', 'France']"
chapman-bussy-d-ambois,"['Paris', 'Alpes', 'Peleon', 'States', 'Rome', 'Arden', 'Troy']"
chapman-caesar-and-pompey-the-wars-of-caesar-and-pompey,"['Thessaly', 'France', 'Sicilia', 'South', 'Europe', 'Italy', 'Rome', 'Sicily', 'Greece', 'Asia', 'Thrace']"
chapman-jonson-marston-eastward-ho,"['Iland', 'Virginia', 'Affrica', 'England', 'Baudes', 'Borgia', 'France', 'States', 'London', 'Cambridge']"
chapman-may-day,"['Venice', 'Padua', 'Paris', 'Lucretia', 'Italy', 'Troy']"
chapman-monsieur-d-olive,"['France', 'States', 'Europe', 'Rome', 'Greece', 'Alpes', 'Padua', 'Paris', 'England']"
chapman-sir-giles-goosecap,[]
chapman-the-blind-beggar-of-alexandria,"['Rome', 'Arabia', 'Egypt', 'Aegypt', 'Alpes']"
chapman-the-conspiracy-of-charles-duke-of-byron,"['France', 'States', 'Europe', 'Italy', 'Rome', 'Po', 'Spaine', 'England', 'Burgundy', 'Fraunce']"
chapman-the-gentleman-usher,"['Padua', 'Italy', 'Rome', 'Po']"
chapman-the-masque-of-the-middle-temple-and-lincoln-s-inn,[]
chapman-the-revenge-of-bussy-d-ambois,"['Paris', 'France', 'Rome', 'Athens', 'Greece', 'England', 'Troy']"
chapman-the-tragedy-of-charles-duke-of-byron,"['Lorraine', 'France', 'States', 'Italy', 'Rome', 'Arden', 'Albania', 'Spaine', 'Paris', 'Alps', 'Switzerland', 'Naples', 'Iberia', 'Arabia', 'England', 'Turky']"
chapman-the-widow-s-tears,"['Paphos', 'Rome', 'Sparta', 'Athens', 'Paris']"
chapman-two-wise-men-and-all-the-rest-fools,"['Ireland', 'Island', 'States', 'London', 'Cambridge', 'Italy', 'Persia', 'Rome', 'England', 'Amsterdam', 'Alpes']"
chettle-hoffman,"['Germany', 'States', 'Persia', 'Saxony', 'Austria', 'Nile']"
cooke-greene-s-tu-quoque,[]
cowley-love-s-riddle,"['City', 'Europe', 'Persia', 'Arabia', 'Sicily']"
cumber-the-two-merry-milkmaids,"['Germany', 'Florence', 'Europe', 'Rome', 'Alpes', 'Verona', 'Venice', 'Padua', 'Arabia']"
d-the-knave-in-grain-new-vamped,"['Venice', 'Iland', 'Europe', 'Cape', 'Middleborough', 'Italy', 'Troy', 'Alpes', 'Holland', 'Paris', 'Egypt', 'Mount']"
daborne-a-christian-turned-turk,"['Israel', 'France', 'Ierusalem', 'States', 'Europe', 'Arabia', 'Porcupines', 'Alpes']"
daniel-cleopatra,"['Rome', 'Asia', 'Orient', 'Rhodes', 'Egypt']"
daniel-hymen-s-triumph,"['Corinth', 'Arcadia', 'Egypt']"
daniel-philotas,"['Persia', 'Greece', 'Asia']"
daniel-the-queen-s-arcadia,"['Arcadia', 'Thebes', 'Corinth', 'Sparta']"
daniel-the-vision-of-the-twelve-goddesses,"['Asia', 'Greece']"
davenant-albovine-king-of-the-lombards,"['France', 'Italy', 'Paris', 'Verona', 'Hungary']"
davenant-britannia-triumphans,[]
davenant-salmacida-spolia,[]
davenant-the-cruel-brother,"['Mantua', 'Lucca', 'Italy', 'Alpes']"
davenant-the-just-italian,"['France', 'Lucca', 'Italy', 'Toledo']"
davenant-the-temple-of-love,[]
davenant-the-wits,"['Finsbury', 'Friesland', 'Dover', 'Delph', 'States', 'Geneva', 'Turin', 'Troy', 'Paris', 'South']"
davenport-a-new-trick-to-cheat-the-devil,"['Germany', 'France', 'States', 'London', 'Troy', 'Spaine', 'Prague', 'Madrid', 'England']"
day-humor-out-of-breath,"['Venice', 'Italy', 'Padua', 'Paris', 'Mantua']"
day-law-tricks,"['Iland', 'Genoa', 'Lucretia', 'Europe', 'Orient', 'Sardinia', 'Salisbury']"
day-the-isle-of-gulls,"['Madame', 'Iland', 'Arcadia', 'Parnassus', 'Affrica', 'Greece', 'Thrace']"
day-the-parliament-of-bees,"['Paris', 'Rome', 'Troy', 'Thessalie']"
day-wilkins-rowley-the-travels-of-the-three-english-brothers,"['Venice', 'Iland', 'London', 'Italy', 'Persia', 'Rome', 'England', 'Spaine', 'Turkey']"
dekker-blurt-master-constable,"['Venice', 'Virginia', 'France', 'Italy', 'Troy', 'Saint Marke', 'Frisco', 'Paris', 'Fraunce', 'Toledo', 'Castile']"
dekker-chettle-haughton-patient-grissel,"['Germany', 'Venice', 'Italy', 'Wales', 'Toledo']"
dekker-ford-middleton-rowley-the-spanish-gypsy,[]
